
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
02:1A:11:FD:09:28, 2021-05-06 11:04:47, 2021-05-06 11:06:20,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1C:AB:C0:BA:B0:78, 2021-05-06 11:04:39, 2021-05-06 11:06:20,  1,  54, WPA2, CCMP TKIP, PSK, -80,      833,       41,   0.  0.  0.  0,  11, HITRON-B070, 
64:77:7D:30:4F:08, 2021-05-06 11:04:39, 2021-05-06 11:06:20,  1,  54, WPA2, CCMP, PSK, -60,      878,       29,   0.  0.  0.  0,   4, paul, 
A0:8C:FD:07:7A:DF, 2021-05-06 11:04:40, 2021-05-06 11:05:59,  3,  54, WPA2, CCMP, PSK, -38,        0,        0,   0.  0.  0.  0,  32, DIRECT-F7-HP DeskJet 3630 series, 
B8:A3:86:A0:F7:C8, 2021-05-06 11:04:39, 2021-05-06 11:06:20,  3,  54, WPA2, CCMP, PSK, -40,      914,      157,   0.  0.  0.  0,   5, 9024A, 
1C:49:7B:98:8C:A4, 2021-05-06 11:04:39, 2021-05-06 11:06:20,  1,  54, WPA2, CCMP, PSK, -30,      926,     3364,   0.  0.  0.  0,   5, APBOX, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
20:A2:E4:2C:08:05, 2021-05-06 11:05:12, 2021-05-06 11:05:12,  -1,        1, B8:A3:86:A0:F7:C8,
7E:53:0C:4C:B9:54, 2021-05-06 11:05:14, 2021-05-06 11:05:14, -48,        2, (not associated) ,
52:22:2C:78:7C:27, 2021-05-06 11:05:14, 2021-05-06 11:05:14, -50,        1, (not associated) ,
7C:49:EB:5D:BE:CB, 2021-05-06 11:05:09, 2021-05-06 11:05:09, -79,        1, 1C:AB:C0:BA:B0:78,
F4:F5:E8:4D:A4:D2, 2021-05-06 11:05:08, 2021-05-06 11:05:08,  -1,        1, 1C:AB:C0:BA:B0:78,
2E:16:01:59:28:DB, 2021-05-06 11:04:46, 2021-05-06 11:06:01, -82,        5, 64:77:7D:30:4F:08,
C8:B4:22:59:A9:89, 2021-05-06 11:04:47, 2021-05-06 11:06:20, -84,        6, 02:1A:11:FD:09:28,
0C:9D:92:DA:22:E0, 2021-05-06 11:05:59, 2021-05-06 11:05:59, -82,        2, (not associated) ,
00:15:18:16:E7:BA, 2021-05-06 11:05:47, 2021-05-06 11:05:47, -80,        3, (not associated) ,
D8:C0:A6:C8:0E:D4, 2021-05-06 11:04:39, 2021-05-06 11:06:20, -74,      543, 64:77:7D:30:4F:08,
60:F2:62:30:0E:3A, 2021-05-06 11:04:40, 2021-05-06 11:05:40, -72,        5, (not associated) ,
A2:6E:D5:20:93:38, 2021-05-06 11:04:59, 2021-05-06 11:05:59, -69,        7, 64:77:7D:30:4F:08,
7A:E4:A7:97:1A:04, 2021-05-06 11:05:08, 2021-05-06 11:06:08, -50,        6, B8:A3:86:A0:F7:C8,
34:F6:4B:A8:66:14, 2021-05-06 11:04:42, 2021-05-06 11:06:20, -26,     3289, 1C:49:7B:98:8C:A4,
9C:FC:01:11:F0:4B, 2021-05-06 11:06:07, 2021-05-06 11:06:07,  -1,        1, B8:A3:86:A0:F7:C8,

